ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2016-07-09T12:07:38Z,henwttch,"iOS 9.3.2 (iPhone8,1)",3818,US,67.184.131.189,unknown,Buzzcut Season,Lorde,Pure Heroine,spotify:track:3ShTaJBCOclymogQNzPde7,,,,clickrow,fwdbtn,True,,False,0,False
2017-08-30T20:46:43Z,henwttch,"iOS 10.3.2 (iPhone8,1)",895,US,143.195.39.107,unknown,With A Little Help From My Friends - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,spotify:track:2RnPATK99oGOZygnD2GTO6,,,,fwdbtn,fwdbtn,True,,False,0,False
2022-08-01T17:18:57Z,henwttch,"iOS 15.5 (iPhone11,8)",266432,US,207.237.209.35,unknown,Stoned at the Nail Salon,Lorde,Solar Power,spotify:track:38Zs2b75JPNB2tS7O7JQnS,,,,trackdone,trackdone,True,,False,1659374070360,False
2020-10-10T04:35:30Z,henwttch,"iOS 13.7 (iPhone11,8)",69931,US,108.204.107.107,unknown,DVD Menu,Phoebe Bridgers,Punisher,spotify:track:6Tz8qANEIf4aCGEEjcxgKg,,,,clickrow,trackdone,True,,False,1602304461133,False
2016-09-15T17:07:01Z,henwttch,"iOS 9.3.5 (iPhone8,1)",1877,US,66.87.77.200,unknown,My Life Would Suck Without You,Kelly Clarkson,All I Ever Wanted,spotify:track:4Dm32oO01YpIubCHaAtKkN,,,,fwdbtn,fwdbtn,True,,False,0,False
2018-09-22T07:14:45Z,henwttch,"iOS 11.2.6 (iPhone9,1)",203080,US,147.126.10.153,unknown,"Once Upon a Dream - From ""Maleficent"" / Pop Version",Lana Del Rey,"Once Upon a Dream (from ""Maleficent"")",spotify:track:3liiZRlJxa8GeLUgWMoIeu,,,,clickrow,trackdone,False,,False,1537600282877,False
2020-07-08T06:01:07Z,henwttch,"iOS 13.5.1 (iPhone11,8)",268597,US,108.204.107.107,unknown,The Good Side,Troye Sivan,Bloom,spotify:track:4qAHuJq5T4Q97EQZG47H0P,,,,clickrow,trackdone,False,,False,1594187799379,False
2019-06-12T22:49:44Z,henwttch,"iOS 12.3.1 (iPhone9,1)",162376,US,99.203.142.93,unknown,DI MI NOMBRE - Cap.8: Éxtasis,ROSALÍA,El Mal Querer,spotify:track:2Sfl7odHUmG7qc8SbqUyzE,,,,trackdone,trackdone,False,,False,1560379621275,False
2019-03-09T03:01:01Z,henwttch,"iOS 12.1.2 (iPhone9,1)",111226,US,147.126.10.153,unknown,Binz,Solange,When I Get Home,spotify:track:7yvdp8dqmxExSJwT2fn6Xq,,,,trackdone,trackdone,False,,False,1552100349589,False
2017-09-02T09:58:59Z,henwttch,"iOS 10.3.2 (iPhone8,1)",1369,US,24.15.102.177,unknown,M!ssundaztood,P!nk,M!ssundaztood,spotify:track:1Y4h0LZS6PhC76TOkTMDGU,,,,clickrow,fwdbtn,True,,False,0,False
